CLOUD,Name,EntrezIDs,Symbols
CLOUD011,Pramipexole,1814;1813;1815;151;3350;3352;150;3351;3356;3357;3358;152;1812;1816;6582;6580;55775,DRD3;DRD2;DRD4;ADRA2B;HTR1A;HTR1D;ADRA2A;HTR1B;HTR2A;HTR2B;HTR2C;ADRA2C;DRD1;DRD5;SLC22A2;SLC22A1;DRD2;DRD3;DRD4;TDP1;HTR2A;DRD2;DRD4;DRD3
CLOUD012,Carbachol,1128;1129;1135;43;1131;1132;5321;3725;7201;5029;259249;7253;5335;1133,CHRM1;CHRM2;CHRNA2;ACHE;CHRM3;CHRM4;PLA2G4A;JUN;TRHR;P2RY2;MRGPRX1;TSHR;PLCG1;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;CHRM3;CHRM2;CHRM1;CHRM4;CHRM5;CHRM3
CLOUD013,Asenapine,1813;3356;3350;3351;3357;3358;3361;3362;3363;150;151;152;148;1812;1814;1815;3269;3274;153;154;1544;1565;54657;1576,DRD2;HTR2A;HTR1A;HTR1B;HTR2B;HTR2C;HTR5A;HTR6;HTR7;ADRA2A;ADRA2B;ADRA2C;ADRA1A;DRD1;DRD3;DRD4;HRH1;HRH2;ADRB1;ADRB2;CYP1A2;CYP2D6;UGT1A4;CYP3A4;HRH2;DRD2;HTR2A;HRH2
CLOUD014,Ticalopride,3360;3359,HTR4;HTR3A
CLOUD015,Amodiaquine,3176;1558;1543;1545;1565;1559;60482;6595;1573;1544;1812,HNMT;CYP2C8;CYP1A1;CYP1B1;CYP2D6;CYP2C9;SLC5A7;SMARCA2;CYP2J2;CYP1A2;DRD1;CYP2C8;CYP2D6
CLOUD016,Rosiglitazone,5468;2182;5465;5467;6256;6257;6258;1558;1558;1559;1559;5742;1544;1548;1557;1565;10599;213;4128;4129;55847;3248;2864;8647;760;6916,PPARG;ACSL4;PPARA;PPARD;RXRA;RXRB;RXRG;CYP2C8;CYP2C8;CYP2C9;CYP2C9;PTGS1;CYP1A2;CYP2A6;CYP2C19;CYP2D6;SLCO1B1;ALB;MAOA;MAOB;CISD1;HPGD;FFAR1;PPARA;PPARD;PPARG;ABCB11;CA2;MAOB;PPARG;PPARA;TBXAS1;PPARD;ABCB11;CISD1;PPARG
CLOUD017,Amiloride,6337;6338;6340;6339;26;40;41;6548;5328;26;26;6582;6580;6583;60482;1544;135;7157;6553;9311;4128,SCNN1A;SCNN1B;SCNN1G;SCNN1D;AOC1;ASIC2;ASIC1;SLC9A1;PLAU;AOC1;AOC1;SLC22A2;SLC22A1;SLC22A4;SLC5A7;SCNN1A;CYP1A2;ADORA2A;PLAU;TP53;SLC9A5;ASIC3;MAOA;SCNN1A;ADORA2A;PLAU;ASIC3
CLOUD018,Hydroxychloroquine,51284;54106;1565;1129;146,TLR7;TLR9;CYP2D6;CHRM2;ADRA1D;TLR7;TLR9;CHRM2;ADRA1D
CLOUD019,Clopidogrel,64805;1576;1555;1555;1577;1557;1559;1559;1544;1558;1066;5243;6532;1565,P2RY12;CYP3A4;CYP2B6;CYP2B6;CYP3A5;CYP2C19;CYP2C9;CYP2C9;CYP1A2;CYP2C8;CES1;ABCB1;SLC6A4;CYP3A4;CYP3A5;CYP1A2;CYP2B6;CYP2C19;CYP2C9;CYP2D6;SLC6A4
CLOUD020,Tranylcypromine,4128;4129;1576;1565;1559;1557;1544;1571;1548;23186;1555;23028;3358,MAOA;MAOB;CYP3A4;CYP2D6;CYP2C9;CYP2C19;CYP1A2;CYP2E1;CYP2A6;MAOA;MAOB;CYP2A6;RCOR1;CYP2B6;KDM1A;CYP2C19;HTR2C;MAOA;MAOB;CYP2C19;CYP2A6;CYP2B6
CLOUD021,Oseltamivir,1066;4758;4759;10257;6564;9376;10825,CES1;NEU1;NEU2;ABCC4;SLC15A1;SLC22A8;NEU3
CLOUD022,Oxyphenonium,1128,CHRM1
CLOUD023,Dopamine,1813;1812;1816;1814;1815;6531;1621;3350;3363;1812;6530;6532;3359;9177;6647;6571;4128;4129;1312;1621;1544;1557;1559;1565;6582;6582;6580;6580;6581;6584;5460;768;146;147;148;150;4780;2737;55775;2237;771;4543;4544;23632;54737;761;766;763;11238;3091;7157;759;760;762;765;390245,DRD2;DRD1;DRD5;DRD3;DRD4;SLC6A3;DBH;HTR1A;HTR7;DRD1;SLC6A2;SLC6A4;HTR3A;HTR3B;SOD1;SLC18A2;MAOA;MAOB;COMT;DBH;CYP1A2;CYP2C19;CYP2C9;CYP2D6;SLC22A2;SLC22A2;SLC22A1;SLC22A1;SLC22A3;SLC22A5;POU5F1;CA9;SLC6A2;SLC6A3;DRD3;ADRA1D;ADRA1B;ADRA1A;DRD2;DRD1;DRD4;DRD5;ADRA2A;NFE2L2;GLI3;TDP1;FEN1;CA12;MTNR1A;MTNR1B;CA14;MPHOSPH8;CA3;CA7;CA5A;CA5B;HIF1A;TP53;CA1;CA2;CA4;CA6;KDM4E;DRD2;DRD1;DRD4;SLC6A2;DRD3;SLC6A3;DRD5;MTNR1A;MTNR1B;KDM4E;DRD1
CLOUD024,Bortezomib,5693;5689;1576;1576;1557;1557;1565;1544;1544;1559;1559;5707;7979;9861;5970;4791;5644;5645;5646;5684;3091;9970;5914;143471;11047;79915;4780;3458;4790;5683;5682;2099;1588;5685;5686;823;5688;5690;5691;5692;5694;1215;5696;5698;5699;5700;5701;5702;1991;5704;5705;5706;5687;5708;5709;5710;5327;5713;122706;5717;5718;5719;5476;5467;5340;2100;55775;1504;2147;1508;10213;1511;1514;5714;367;2161;2034;3315;7157;759;760;5695;2101,PSMB5;PSMB1;CYP3A4;CYP3A4;CYP2C19;CYP2C19;CYP2D6;CYP1A2;CYP1A2;CYP2C9;CYP2C9;PSMD1;SEM1;PSMD6;RELA;NFKB2;PRSS1;PRSS2;PRSS3;PSMA3;HIF1A;NR1I3;RARA;PSMA8;ADRM1;ATAD5;NFE2L2;IFNG;NFKB1;PSMA2;PSMA1;ESR1;CYP19A1;PSMA4;PSMA5;CAPN1;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;CMA1;PSMB8;PSMB9;PSMB10;PSMC1;PSMC2;PSMC3;ELANE;PSMC4;PSMC5;PSMC6;PSMA6;PSMD2;PSMD3;PSMD4;PLAT;PSMD7;PSMB11;PSMD11;PSMD12;PSMD13;CTSA;PPARD;PLG;ESR2;TDP1;CTRB1;F2;CTSB;PSMD14;CTSG;CTSL;PSMD8;AR;F12;EPAS1;HSPB1;TP53;CA1;CA2;PSMB7;ESRRA;PSMB2;CA2;ELANE;CMA1;CA1;CTSG;CTRB1;PSMB2;PSMB5;PSMB1;PSMB8;CTSA;NFKB2;PSMB2
CLOUD025,Trifluoperazine,1813;50632;148;801;7134;6275;7498;54657;1544;5243;5893;1812;1557;7066;3356;1565;6311;1576;84650;3757;6323;6326;65975;6328;2740;10682;10951;5594;207;55775;5732;7398;5999;10280;7157;4088;57599,DRD2;CALY;ADRA1A;CALM1;TNNC1;S100A4;XDH;UGT1A4;CYP1A2;ABCB1;RAD52;CYP1A2;ABCB1;DRD1;CYP2C19;THPO;HTR2A;CYP2D6;CALM1;ATXN2;CYP3A4;EBPL;KCNH2;SCN1A;SCN2A;STK33;SCN3A;GLP1R;EBP;CBX1;MAPK1;AKT1;TDP1;PTGER2;USP1;RGS4;SIGMAR1;TP53;SMAD3;WDR48;KCNH2;EBP;SIGMAR1;ABCB1;SCN3A;EBPL;USP1
CLOUD026,Maraviroc,1234;1576;4988;55244;3757,CCR5;CYP3A4;OPRM1;CCR5;SLC47A1;KCNH2;CCR5;CCR5
CLOUD027,Ulipristal,5241;2908;367;1576;1544;213;5004,PGR;NR3C1;AR;CYP3A4;CYP1A2;ALB;ORM1;PGR
CLOUD028,Olmesartan,185;1244;1244;28234;10599;1812,AGTR1;ABCC2;ABCC2;SLCO1B3;SLCO1B1;SLCO1B1;DRD1;AGTR1
CLOUD029,Diphenidol,1128;1131;1129;1814;1132;1133;10280;6323;1813;6326;6328;3356;1565,CHRM1;CHRM3;CHRM2;DRD3;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;SIGMAR1;SCN1A;DRD2;SCN2A;SCN3A;HTR2A;CYP2D6;CHRM2;CHRM1;DRD2;HTR2A;DRD3;CHRM4;CHRM5;CHRM3;SIGMAR1;CYP2D6;SCN3A
CLOUD030,Pargyline,4129;4128,MAOB;MAOA;MAOA;MAOB;MAOA;MAOB
CLOUD031,Fluorouracil,7298;1559;1544;1890;1806;7378;151531;1548;1558;4524;7298;7372;5471;10864;2030;9429;8714;10257;10057;213;3717;3458;5914;79915;2099;2101;22861;5725;55775;3043;367;6256;9970;7157,TYMS;CYP2C9;CYP1A2;TYMP;DPYD;UPP1;UPP2;CYP2A6;CYP2C8;MTHFR;TYMS;UMPS;PPAT;SLC22A7;SLC29A1;ABCG2;ABCC3;ABCC4;ABCC5;ALB;TYMS;JAK2;IFNG;RARA;ATAD5;ESR1;ESRRA;NLRP1;PTBP1;TDP1;HBB;AR;RXRA;NR1I3;TP53;TYMS
CLOUD032,Memantine,116443;2903;2904;3359;1139;1813;2902;1555;1548;1557;6582;2737;5914;6580;2905;2906;116444,GRIN3A;GRIN2A;GRIN2B;HTR3A;CHRNA7;DRD2;GRIN1;CYP2B6;CYP2A6;CYP2C19;SLC22A2;GRIN3A;SLC22A2;GLI3;RARA;SLC22A1;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;GRIN3B;GRIN2B;GRIN1;GRIN3B
CLOUD033,Fluvoxamine,6532;3757;1565;1565;1544;1544;1571;1543;1576;1577;1551;1559;1557;1555;1558;5243;6531;10280,SLC6A4;KCNH2;CYP2D6;CYP2D6;CYP1A2;CYP1A2;CYP2E1;CYP1A1;CYP3A4;CYP3A5;CYP3A7;CYP2C9;CYP2C19;CYP2B6;CYP2C8;ABCB1;SLC6A3;SIGMAR1
CLOUD034,3-Amino-2-Oxazolidinone,4129;4128,MAOB;MAOA
CLOUD035,Ibutilide,775;782;3757;781;786;3775;9424;81033;90134;3767,CACNA1C;CACNB1;KCNH2;CACNA2D1;CACNG1;KCNK1;KCNK6;KCNH6;KCNH7;KCNJ11;KCNH2;KCNH2
CLOUD036,Proguanil,1719;1719;1557;1565;1544;1559;1571;1576,DHFR;DHFR;CYP2C19;CYP2D6;CYP1A2;CYP2C9;CYP2E1;CYP3A4;CYP1A2
CLOUD037,Sertraline,6532;6531;10857;1576;1576;1565;1565;1557;1557;1559;1559;1555;1555;1544;1544;4129;4128;5243;213;6530;3725;2831;1812;150;151;152;3356;3358;2847;60482;1573;7334;6311;3757;3357;1072;65975;317;4161;134864;983;3417;4193;4194;1128;1129;1132;1133;10280;7157,SLC6A4;SLC6A3;PGRMC1;CYP3A4;CYP3A4;CYP2D6;CYP2D6;CYP2C19;CYP2C19;CYP2C9;CYP2C9;CYP2B6;CYP2B6;CYP1A2;CYP1A2;MAOB;MAOA;ABCB1;ALB;SLC6A2;SLC6A3;SLC6A4;CYP1A2;JUN;NPBWR1;DRD1;CYP2C19;ADRA2A;ADRA2B;ADRA2C;HTR2A;CYP2D6;HTR2C;MCHR1;SLC5A7;CYP2J2;UBE2N;ATXN2;CYP3A4;KCNH2;HTR2B;CFL1;STK33;APAF1;MC5R;TAAR1;CDK1;IDH1;MDM2;MDM4;CHRM1;CHRM2;CHRM4;CHRM5;SIGMAR1;TP53;ABCB1;CHRM2;ADRA2A;CHRM1;SLC6A2;HTR2A;HTR2C;SLC6A4;SLC6A3;KCNH2;CHRM4;CHRM5;ADRA2B;ADRA2C;HTR2B;MC5R;SIGMAR1;CYP2C19
CLOUD038,Naltrexone,4985;4988;4986;10280;54658;1576;1139;1565,OPRD1;OPRM1;OPRK1;SIGMAR1;UGT1A1;CYP3A4;CHRNA7;OPRD1;OPRK1;OPRM1;OPRM1;OPRM1;OPRD1;OPRK1;CYP2D6;OPRM1;OPRD1;OPRM1;OPRM1
CLOUD039,Vecuronium,1135;6580;5243,CHRNA2;SLC22A1;ABCB1
CLOUD040,Minoxidil,3758;5742;5972;1544;10058;1565;1576;1557;1559;5725;10060,KCNJ1;PTGS1;REN;CYP1A2;ABCB6;CYP2D6;CYP3A4;CYP2C19;CYP2C9;PTBP1;ABCC9
CLOUD041,Busulfan,1576;2939;2938;2944;2950;4258;1544;6256;2099;1557;1559;1565;2101;4318,CYP3A4;GSTA2;GSTA1;GSTM1;GSTP1;MGST2;CYP1A2;RXRA;CYP3A4;ESR1;CYP2C19;CYP2C9;CYP2D6;ESRRA;MMP9
CLOUD042,Trihexyphenidyl,1128;1129;1131;1132;1133;10280;1565,CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;SIGMAR1;CHRM2;CHRM1;CHRM4;CHRM5;CHRM3;SIGMAR1;CYP2D6
CLOUD043,Levonorgestrel,5241;6715;2099;367;6462;1576;1588;3458;3779;2737;2101;5914;2908,PGR;SRD5A1;ESR1;AR;SHBG;CYP3A4;CYP19A1;IFNG;KCNMB1;AR;GLI3;ESR1;ESRRA;RARA;NR3C1;PGR
CLOUD044,Imipramine,6530;6532;3356;3269;148;146;1128;1129;1131;1132;1133;3751;3752;3358;3358;147;3363;1812;1813;3757;6531;3350;3362;3756;5005;1565;1565;1557;1557;1544;1544;1576;1551;1555;1562;1571;5243;6580;6582;6581;6583;5004;213;11280;1559;2737;140;6323;6326;6328;6329;6331;6332;6334;6335;6336;775;776;778;779;3725;55244;55775;5621,SLC6A2;SLC6A4;HTR2A;HRH1;ADRA1A;ADRA1D;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;KCND2;KCND3;HTR2C;HTR2C;ADRA1B;HTR7;DRD1;DRD2;KCNH2;SLC6A3;HTR1A;HTR6;KCNH1;ORM2;CYP2D6;CYP2D6;CYP2C19;CYP2C19;CYP1A2;CYP1A2;CYP3A4;CYP3A7;CYP2B6;CYP2C18;CYP2E1;ABCB1;SLC22A1;SLC22A2;SLC22A3;SLC22A4;ORM1;ALB;SCN11A;CYP2C19;CYP2C9;CYP2D6;GLI3;CYP3A4;CYP1A2;CHRM2;ADORA3;KCNH2;SCN1A;SCN2A;SCN3A;SCN4A;SCN5A;SCN7A;SCN8A;SCN9A;SCN10A;HRH1;CACNA1C;CACNA1D;CACNA1F;CACNA1S;DRD1;DRD2;HTR2A;HTR2C;JUN;SLC6A2;SLC6A3;SLC6A4;SLC22A1;SLC22A3;SLC22A2;SLC47A1;TDP1;PRNP;DRD2;SLC6A2;HTR2A;HTR2C;SLC6A4;HRH1;ADORA3;SCN3A
CLOUD045,Flumazenil,2554;2566;2558;2554;2560;2564;2565;2567;1544;2562;2563;1557;4780;2568;2559;55879;3553;2556;9451;2557;2561;2555,GABRA1;GABRG2;GABRA5;GABRA1;GABRB1;GABRE;GABRG1;GABRG2;GABRG3;CYP1A2;GABRB3;GABRD;CYP2C19;NFE2L2;GABRP;GABRA6;GABRQ;GABRA1;IL1B;GABRA3;EIF2AK3;GABRA4;GABRB2;GABRA5;GABRA2;GABRQ;GABRA1;GABRA4;GABRQ;GABRG2;GABRA1;GABRA5;GABRG2;GABRA6;GABRG2;GABRG2
CLOUD046,Chlorambucil,2950;6579;29994;79915;4780;2671;6097;9970;7157;4790;65975;2101;55775,GSTP1;SLCO1A2;BAZ2B;ATAD5;NFE2L2;GFER;RORC;NR1I3;TP53;NFKB1;STK33;ESRRA;TDP1
CLOUD047,Pentamidine,1787;1557;1543;1565;1577;1579;1544;1558;1576;6530;6531;1814;6285;150;26;3356;3358;6303;3757;6580;6581;6582;55244;2902;2903;1129;1132;1133;6768;146802;4128,TRDMT1;CYP2C19;CYP1A1;CYP2D6;CYP3A5;CYP4A11;CYP1A2;CYP2C8;CYP3A4;SLC6A2;SLC6A3;DRD3;S100B;ADRA2A;AOC1;HTR2A;HTR2C;SAT1;KCNH2;SLC22A1;SLC22A3;SLC22A2;SLC47A1;GRIN1;GRIN2A;CHRM2;CHRM4;CHRM5;ST14;SLC47A2;CHRM2;ADRA2A;MAOA;SLC6A2;HTR2A;HTR2C;DRD3;SLC6A3;CHRM4;CHRM5;AOC1;SAT1;ST14;SLC22A2;SLC47A1;SLC47A2;GRIN1;SLC22A3
CLOUD048,Canrenone,7334;4780;54414;367;2737;1812;2101;1588;5914;2908;55775;4306,UBE2N;NFE2L2;SIAE;AR;GLI3;DRD1;ESRRA;CYP19A1;RARA;NR3C1;TDP1;NR3C2
CLOUD049,Dronedarone,148;147;146;150;151;152;153;3757;775;776;778;779;782;783;784;785;6323;3776;1576;1576;1565;1565;5243;213;2099;3458;367;2737;3315;1588;2101;5914;55775;7253,ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;ADRB1;KCNH2;CACNA1C;CACNA1D;CACNA1F;CACNA1S;CACNB1;CACNB2;CACNB3;CACNB4;SCN1A;KCNK2;CYP3A4;CYP3A4;CYP2D6;CYP2D6;ABCB1;ALB;ESR1;KCNH2;IFNG;AR;GLI3;HSPB1;CYP19A1;ESRRA;RARA;TDP1;TSHR;KCNH2
CLOUD050,Methyclothiazide,6557;759;760;762;4780;6559,SLC12A1;CA1;CA2;CA4;NFE2L2;SLC12A3
CLOUD051,Testosterone,367;2099;4306;1577;1588;1583;4128;1551;1576;1576;1576;1543;1545;1553;1555;1555;1557;1558;1559;64816;6579;6579;9376;10864;6580;5243;6554;6581;6583;9429;213;6462;775;1544;151306;5914;1565;4780;2737;2101;2100;6097;1109;2908;55775;866;6256;10280,AR;ESR1;NR3C2;CYP3A5;CYP19A1;CYP11A1;MAOA;CYP3A7;CYP3A4;CYP3A4;CYP3A4;CYP1A1;CYP1B1;CYP2A13;CYP2B6;CYP2B6;CYP2C19;CYP2C8;CYP2C9;CYP3A43;SLCO1A2;SLCO1A2;SLC22A8;SLC22A7;SLC22A1;ABCB1;SLC10A1;SLC22A3;SLC22A4;ABCG2;ALB;SHBG;CACNA1C;CYP1A2;GPBAR1;CYP2C19;RARA;CYP2D6;CYP3A4;NFE2L2;GLI3;ESR1;CYP19A1;ESRRA;ESR2;SHBG;RORC;AKR1C4;NR3C1;TDP1;SERPINA6;AR;RXRA;SIGMAR1;AR;NR3C1;AR;CYP19A1;SIGMAR1;SHBG
CLOUD052,Riluzole,6331;23657;1544;1543;9429;4864;6530;9734;23435;3458;3350;9367;5914;1576;79915;2099;2101;6326;196;2908;367;9970;7157;6323,SCN5A;SLC7A11;CYP1A2;CYP1A1;ABCG2;NPC1;SLC6A2;HDAC9;CYP1A2;TARDBP;IFNG;HTR1A;RAB9A;RARA;CYP3A4;ATAD5;ESR1;ESRRA;SCN2A;AHR;NR3C1;AR;NR1I3;TP53;SCN1A;SLC6A2
CLOUD053,Doxorubicin,7153;9221;4720;4722;374291;1576;1576;1565;1565;1555;1545;873;874;10327;8644;1728;7498;4842;4843;4846;5447;5243;5243;5243;4363;4363;8714;368;368;9429;85413;89845;11194;8647;10928;1244;213;3458;6790;1544;3091;1557;1559;55704;55847;8493;1717;65975;10682;28234;596;598;4313;51426;1128;7150;2034;7157;2064;2534,TOP2A;NOLC1;NDUFS2;NDUFS3;NDUFS7;CYP3A4;CYP3A4;CYP2D6;CYP2D6;CYP2B6;CYP1B1;CBR1;CBR3;AKR1A1;AKR1C3;NQO1;XDH;NOS1;NOS2;NOS3;POR;ABCB1;ABCB1;ABCB1;ABCC1;ABCC1;ABCC3;ABCC6;ABCC6;ABCG2;SLC22A16;ABCC10;ABCB8;ABCB11;RALBP1;ABCC2;ALB;IFNG;AURKA;CYP1A2;ABCC3;HIF1A;CYP2C19;CYP2C9;CCDC88A;CYP2D6;CISD1;PPM1D;DHCR7;STK33;EBP;SLCO1B3;BCL2;ABCG2;BCL2L1;MMP2;POLK;CHRM1;TOP1;TOP2A;EPAS1;TP53;ABCB1;CHRM1;TOP2A;ERBB2;FYN;MMP2;AURKA;CISD1;HIF1A
CLOUD054,Triamterene,6340;6337;6338;6339;1544;1544;3717;9734;22926;5650;3091;5914;7068;3205;5467;79915;4780;2737;2099;2101;9971;196;3417;8795;5468;861;55775;865;367;6256;3315;2548;7157;1511;834,SCNN1G;SCNN1A;SCNN1B;SCNN1D;CYP1A2;CYP1A2;JAK2;HDAC9;CYP1A2;ATF6;KLK7;HIF1A;RARA;THRB;HOXA9;PPARD;ATAD5;NFE2L2;GLI3;ESR1;ESRRA;NR1H4;AHR;IDH1;TNFRSF10B;PPARG;RUNX1;TDP1;CBFB;AR;RXRA;HSPB1;GAA;TP53;SCNN1A;CTSG;CASP1
CLOUD055,Cevimeline,1131;1128;1565;1576;2326,CHRM3;CHRM1;CYP2D6;CYP3A4;FMO1
CLOUD056,Bumetanide,6557;6558;6560;57468;1080;5743;6554;6554;9356;9356;9376;55867;10864;6579;768;23632;763;11238;2859;4780;5871;765;771;759;760;8314;5243;762;766,SLC12A1;SLC12A2;SLC12A4;SLC12A5;CFTR;PTGS2;SLC10A1;SLC10A1;SLC22A6;SLC22A6;SLC22A8;SLC22A11;SLC22A7;SLCO1A2;CA9;CA14;CA5A;CA5B;GPR35;NFE2L2;MAP4K2;CA6;CFTR;CA12;CA1;CA2;BAP1;ABCB1;SLC12A5;CA4;CA7;SLC12A1
CLOUD057,Cytarabine,5423;978;1576;1633;4907;1635;6580;89845;2030;672;4193;4194;580;3717;1544;8202;367;9970;7157;55775;1559;1565;1557;5422,POLB;CDA;CYP3A4;DCK;NT5E;DCTD;SLC22A1;ABCC10;SLC29A1;BRCA1;MDM2;MDM4;BARD1;JAK2;CYP1A2;NCOA3;AR;CYP3A4;NR1I3;TP53;TDP1;CYP2C9;CYP2D6;CYP2C19;POLA1
CLOUD058,Loperamide,4988;4985;4986;773;5443;801;9970;1576;1558;1555;1565;5243;6532;1814;5142;154;2475;3757;3357;6323;6580;2101;6326;65975;6328;1588;3274;7253;55775;7010;367;10280;7157,OPRM1;OPRD1;OPRK1;CACNA1A;POMC;CALM1;NR1I3;CYP3A4;CYP2C8;CYP2B6;CYP2D6;ABCB1;SLC6A4;DRD3;PDE4B;ADRB2;CYP2D6;CYP3A4;MTOR;KCNH2;HTR2B;SCN1A;SLC22A1;ESRRA;SCN2A;STK33;SCN3A;CYP19A1;HRH2;TSHR;TDP1;TEK;AR;SIGMAR1;NR1I3;TP53;OPRD1;OPRK1;ABCB1;OPRM1;ADRB2;HRH2;SLC6A4;OPRM1;DRD3;OPRD1;OPRK1;HTR2B;SIGMAR1;CYP2D6;SCN3A
CLOUD059,Nisoldipine,775;781;783;776;779;1576;1576;1577;1551;1544;5243;10242;778;140;3725;3091;1557;1559;8856;5914;51099;3778;1565;2737;135;4780;3757;389816;259249;6323;1588;2101;6326;440503;1080;2100;2099;23435;196;10951;3784;3276;4300;6328;3553;3779;3417;2908;55775;4193;4194;5347;3172;27345;51053;367;9970;3315;7157;4088;7421,CACNA1C;CACNA2D1;CACNB2;CACNA1D;CACNA1S;CYP3A4;CYP3A4;CYP3A5;CYP3A7;CYP1A2;ABCB1;KCNMB2;CACNA1C;CACNA1D;CACNA1F;CACNA1S;ADORA3;JUN;HIF1A;CYP2C19;CYP2C9;NR1I2;RARA;ABHD5;KCNMA1;CYP2D6;CYP1A2;GLI3;CYP3A4;ADORA2A;NFE2L2;KCNH2;LRRC26;MRGPRX1;SCN1A;CYP19A1;ESRRA;SCN2A;PLIN5;CFTR;ESR2;ESR1;TARDBP;AHR;CBX1;KCNQ1;PRMT1;MLLT3;SCN3A;IL1B;KCNMB1;IDH1;NR3C1;TDP1;MDM2;MDM4;PLK1;HNF4A;KCNMB4;GMNN;AR;NR1I3;HSPB1;TP53;SMAD3;ABCB1;VDR;CACNA1D;ADORA2A;ADORA3;CYP1A2
CLOUD060,Sumatriptan,3352;3351;3355;3350;4128;6579;5243;9429;10599;3363;3354;3356;3358;3359;3361;3362;55244;361;1813,HTR1D;HTR1B;HTR1F;HTR1A;MAOA;SLCO1A2;ABCB1;ABCG2;SLCO1B1;HTR7;HTR1A;HTR1B;HTR1D;HTR1E;HTR2A;HTR2C;HTR3A;HTR5A;HTR6;HTR1F;SLC47A1;AQP4;HTR1D;HTR1B;HTR1A;DRD2;HTR1D;HTR1B;HTR2A;HTR2C;HTR3A;HTR1F;HTR1E;SLC47A1
CLOUD061,Sitagliptin,1803;1576;1558;5243;9376;91039;54878;2191,DPP4;CYP3A4;CYP2C8;ABCB1;SLC22A8;DPP4;DPP9;DPP8;FAP;DPP4;DPP8;DPP9;FAP
